DÍA 1;;;;;;DÍA 2;;;;;;DÍA 3;;;;;;DÍA 4;;;;;
Medición 1;;;Medición 2;;;Medición 3;;;Medición 4;;;Medición 5;;;Medición 6;;;Medición 7;;;Medición 8;;
=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;
AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado
309;65.68;MEDIO;296;69.45;MEDIO;219;91.75;EXCESO;246;83.93;OPTIMO;264;78.72;MEDIO;290;71.19;MEDIO;328;60.18;SECO;232;87.98;EXCESO
308;65.97;MEDIO;296;69.45;MEDIO;221;91.17;EXCESO;247;83.64;OPTIMO;265;78.43;MEDIO;291;70.90;MEDIO;329;59.89;SECO;233;87.69;EXCESO
309;65.68;MEDIO;297;69.16;MEDIO;222;90.88;EXCESO;247;83.64;OPTIMO;267;77.85;MEDIO;292;70.61;MEDIO;330;59.60;SECO;237;86.53;EXCESO
309;65.68;MEDIO;298;68.87;MEDIO;223;90.59;EXCESO;248;83.35;OPTIMO;267;77.85;MEDIO;293;70.32;MEDIO;330;59.60;SECO;131;117.23;EXCESO
309;65.68;MEDIO;297;69.16;MEDIO;225;90.01;EXCESO;249;83.06;OPTIMO;268;77.56;MEDIO;294;70.03;MEDIO;330;59.60;SECO;150;111.73;EXCESO
309;65.68;MEDIO;298;68.87;MEDIO;225;90.01;EXCESO;249;83.06;OPTIMO;270;76.98;MEDIO;295;69.74;MEDIO;331;59.31;SECO;132;116.94;EXCESO
309;65.68;MEDIO;298;68.87;MEDIO;227;89.43;EXCESO;249;83.06;OPTIMO;271;76.69;MEDIO;296;69.45;MEDIO;331;59.31;SECO;166;107.10;EXCESO
309;65.68;MEDIO;298;68.87;MEDIO;228;89.14;EXCESO;250;82.77;OPTIMO;271;76.69;MEDIO;297;69.16;MEDIO;331;59.31;SECO;181;102.75;EXCESO
309;65.68;MEDIO;299;68.58;MEDIO;229;88.85;EXCESO;251;82.48;OPTIMO;273;76.11;MEDIO;298;68.87;MEDIO;332;59.02;SECO;191;99.86;EXCESO
309;65.68;MEDIO;299;68.58;MEDIO;230;88.56;EXCESO;251;82.48;OPTIMO;274;75.82;MEDIO;298;68.87;MEDIO;331;59.31;SECO;199;97.54;EXCESO
309;65.68;MEDIO;299;68.58;MEDIO;231;88.27;EXCESO;251;82.48;OPTIMO;275;75.53;MEDIO;299;68.58;MEDIO;332;59.02;SECO;206;95.51;EXCESO
309;65.68;MEDIO;300;68.29;MEDIO;232;87.98;EXCESO;252;82.19;OPTIMO;275;75.53;MEDIO;301;68.00;MEDIO;332;59.02;SECO;212;93.77;EXCESO
309;65.68;MEDIO;300;68.29;MEDIO;233;87.69;EXCESO;253;81.90;OPTIMO;276;75.24;MEDIO;301;68.00;MEDIO;332;59.02;SECO;212;93.77;EXCESO
309;65.68;MEDIO;300;68.29;MEDIO;234;87.40;EXCESO;253;81.90;OPTIMO;277;74.95;MEDIO;302;67.71;MEDIO;333;58.73;SECO;213;93.49;EXCESO
309;65.68;MEDIO;300;68.29;MEDIO;235;87.11;EXCESO;253;81.90;OPTIMO;278;74.66;MEDIO;302;67.71;MEDIO;333;58.73;SECO;215;92.91;EXCESO
309;65.68;MEDIO;301;68.00;MEDIO;237;86.53;EXCESO;254;81.61;OPTIMO;279;74.37;MEDIO;304;67.13;MEDIO;333;58.73;SECO;216;92.62;EXCESO
309;65.68;MEDIO;301;68.00;MEDIO;237;86.53;EXCESO;254;81.61;OPTIMO;280;74.08;MEDIO;304;67.13;MEDIO;333;58.73;SECO;218;92.04;EXCESO
309;65.68;MEDIO;301;68.00;MEDIO;239;85.96;EXCESO;256;81.03;OPTIMO;281;73.79;MEDIO;304;67.13;MEDIO;334;58.44;SECO;219;91.75;EXCESO
309;65.68;MEDIO;302;67.71;MEDIO;239;85.96;EXCESO;256;81.03;OPTIMO;282;73.50;MEDIO;305;66.84;MEDIO;334;58.44;SECO;218;92.04;EXCESO
309;65.68;MEDIO;302;67.71;MEDIO;240;85.67;EXCESO;257;80.74;OPTIMO;283;73.21;MEDIO;306;66.55;MEDIO;335;58.15;SECO;217;92.33;EXCESO
